action,eco,name,pgn,new_pgn,comment,master,lichess,white,draws,black
remove,D00,"Blackmar-Diemer Gambit Declined: Weinsbach Defense, Pfrang Gambit",1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 e6 5. fxe4,,,,,,,
remove,E20,Nimzo-Indian Defense: Dilworth Gambit,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e4,,,,,,,
remove,E36,"Nimzo-Indian Defense: Classical Variation, Romanishin Gambit",1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 d5 5. a3 Bxc3+ 6. Qxc3 c5,,,,,,,
modify,A00,Hungarian Opening: Pachman Gambit,1. g3 f5 2. e4 fxe4 3. Qh5+ g6,1. g3 f5 2. e4 fxe4 3. Qh5+,"Lichess includes Black's reply 3...g6 in the gambit PGN. On this site we stop at 3. Qh5+, White's last move, as the check itself is the gambit idea — Black's response does not define it. Note: the true sacrifice begins as early as 1. g3 f5 2. e4 but that position has its own name; we may revisit this boundary in a future update.",,wgbd1Aq0,46,0,85
modify,A40,Mikenas Defense: Pozarek Gambit,1. d4 Nc6 2. c4 e5 3. dxe5 Nxe5 4. Nc3 Nxc4,1. d4 Nc6 2. c4 e5 3. dxe5 Nxe5 4. Nc3,"Lichess includes Black's 4...Nxc4 (acceptance) in the PGN. On this site we stop at 4. Nc3, White's last move before the capture.",lDOYRrBc,0BF9pQlt,14098,1267,13427
modify,B21,"Bird Opening: Dutch Variation, Batavo Gambit",1. e4 c5 2. f4 d5 3. Nf3 dxe4,1. e4 c5 2. f4 d5 3. Nf3,"Lichess includes Black's 3...dxe4 (acceptance) in the PGN. On this site we stop at 3. Nf3, White's last move before Black takes.",QzPbAQ8y,wrOWylPd,137245,11258,170351
modify,B21,Sicilian Defense: Smith-Morra Gambit,1. e4 c5 2. d4 cxd4 3. c3,1. e4 c5 2. d4,"Lichess classifies the Smith-Morra including Black's 3...cxd4 acceptance and then 3. c3. On this site we use the shorter offer position 1. e4 c5 2. d4, so the gambit is detected as soon as White plays d4 regardless of whether Black accepts.",bQDZlxgx,3Vjutrlc,15563792,1302711,14594493
modify,C00,"French Defense: La Bourdonnais Variation, Reuter Gambit",1. e4 e6 2. f4 d5 3. Nf3 dxe4,1. e4 e6 2. f4 d5 3. Nf3,"Lichess includes Black's 3...dxe4 in the PGN. On this site we stop at 3. Nf3, White's last move.",MD7iPIdB,K5jCyFl9,139993,10170,159706
modify,C13,"French Defense: Alekhine-Chatard Attack, Albin-Chatard Gambit",1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Be7 5. e5 Nfd7 6. h4 Bxg5 7. hxg5 Qxg5,1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Be7 5. e5 Nfd7 6. h4 Bxg5 7. hxg5,"Lichess includes Black's 7...Qxg5 (taking the bishop) in the PGN, which assigns the gambit to Black. On this site we stop at 7. hxg5, White's sacrifice of the h-pawn, so the trophy correctly goes to White who initiates the attack.",xbT1NZw6,,123851,7789,82510
modify,C25,"Vienna Gambit, with Max Lange Defense: Hamppe-Muzio Gambit",1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 g5 5. Bc4 g4 6. O-O gxf3,1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 g5 5. Bc4 g4 6. O-O,"Lichess includes Black's 6...gxf3 (acceptance) in the PGN. On this site we stop at 6. O-O, White's last move before Black takes.",OiJhsEZD,Gi8wv36o,17921,814,13171
modify,C26,"Vienna Game: Paulsen Variation, Pollock Gambit",1. e4 e5 2. Nc3 Nf6 3. g3 Bc5 4. Bg2 Nc6 5. Nge2 d5 6. exd5,1. e4 e5 2. Nc3 Nf6 3. g3 Bc5 4. Bg2 Nc6 5. Nge2 d5 6. exd5 Nd4,"Lichess stops at 6. exd5, a White move, which would assign the gambit to White. The Pollock Gambit is actually Black's counter-sacrifice: after 6. exd5 Black plays 6...Nd4, the defining move. We extend the PGN to 6...Nd4 so the trophy goes to Black.",,FP6GE39i,375,25,293
